"[1.3525216579437256, 1.0509674549102783]","[1.4841925538338556, 1.343108567418427]","[-0.13167089589013004, -0.2921411125081488]"
"[0.016398334875702858, -2.1501395167433657e-05]","[1.1421534455727236, 0.6911591706415475]","[-1.1257551106970207, -0.691180672036715]"
"[0.09200464189052582, 2.548446718719788e-05]","[1.1758658105913375, 0.04547974563232418]","[-1.0838611687008117, -0.04545426116513698]"
"[0.16699011623859406, -0.0005367104313336313]","[0.47287824564619607, 0.023109144999392577]","[-0.305888129407602, -0.02364585543072621]"
"[0.24201960861682892, -0.0011299485340714455]","[0.5500521175666588, -0.015671648133845487]","[-0.3080325089498299, 0.014541699599774041]"
"[0.29199618101119995, -0.0015306002460420132]","[0.5944132341190295, 0.045865587952905205]","[-0.3024170531078295, -0.04739618819894722]"
"[0.3919575810432434, -0.0023288545198738575]","[0.5720600870515204, 0.020198285442371684]","[-0.18010250600827704, -0.022527139962245542]"
"[0.44198399782180786, -0.002723492681980133]","[0.6113910984298614, 0.048837857887781895]","[-0.16940710060805353, -0.05156135056976203]"
"[0.5419062972068787, -0.0035379405599087477]","[0.6857369699596687, 0.0423795092771554]","[-0.14383067275279005, -0.045917449837064146]"
"[0.5918962955474854, -0.0039423489943146706]","[0.7609166294367742, 0.031466696611466255]","[-0.16902033388928883, -0.035409045605780926]"
"[0.6918692588806152, -0.004733491223305464]","[0.7827915530135884, 0.02557301096496068]","[-0.09092229413297315, -0.030306502188266145]"
"[0.7668681144714355, -0.005337388254702091]","[0.8146457841042012, 0.044882336362355627]","[-0.04777766963276564, -0.05021972461705772]"
"[0.8418431282043457, -0.005961264483630657]","[0.8725061193503137, 0.03706951385737918]","[-0.030662991145968044, -0.04303077834100984]"
"[0.8917863965034485, -0.006387454457581043]","[0.8101770824427542, 0.02329239410263388]","[0.08160931406069427, -0.029679848560214925]"
"[0.9917885661125183, -0.007202651351690292]","[0.8940910563468784, 0.05038640171738395]","[0.09769750976563996, -0.05758905306907424]"
"[1.0417779684066772, -0.007628604769706726]","[0.9085497572721722, 0.04959245773382394]","[0.133228211134505, -0.057221062503530665]"
"[1.1416889429092407, -0.008455024100840092]","[1.047944209867603, 0.03103520301956231]","[0.09374473304163766, -0.0394902271204024]"
"[1.2167155742645264, -0.009027859196066856]","[1.1092235940026338, 0.03714420593859645]","[0.10749198026189255, -0.046172065134663307]"
"[1.2666692733764648, -0.009431149810552597]","[1.0494529053359034, 0.04150848018034821]","[0.21721636804056144, -0.050939629990900806]"
