"[0.0001261151919607073, 0.000165033241501078]","[-0.0402107669595379, 0.04228839734809436]","[0.04033688215149861, -0.04212336410659328]"
"[0.00020343631331343204, 0.00016326828335877508]","[0.015091726094808834, -0.016129910780201713]","[-0.014888289781495402, 0.016293179063560488]"
"[0.000653647817671299, 2.852465331670828e-05]","[-0.11563830472011605, -0.24623068464577103]","[0.11629195253778735, 0.24625920929908773]"
"[0.002756574423983693, -0.001302895718254149]","[0.002684121821760005, -0.026848528952626273]","[7.245260222368821e-05, 0.025545633234372124]"
"[0.008401675149798393, -0.0038588165771216154]","[0.05561151607389589, -0.04987907823394634]","[-0.047209840924097496, 0.046020261656824726]"
"[0.020380359143018723, -0.004490056540817022]","[0.015841310471085585, -0.03131162167014279]","[0.004539048671933138, 0.02682156512932577]"
"[0.029567744582891464, -0.01043594442307949]","[0.058514174920358486, -0.01945112021934426]","[-0.028946430337467022, 0.00901517579626477]"
"[0.03326243907213211, -0.021630002185702324]","[0.01423646675384798, -0.02576379001691661]","[0.01902597231828413, 0.004133787831214285]"
"[0.03383839875459671, -0.032612454146146774]","[0.008905146861937163, -0.014237941318370292]","[0.024933251892659547, -0.018374512827776482]"
"[0.032123468816280365, -0.04126409813761711]","[0.033150209038118106, -0.038931708500349264]","[-0.0010267402218377408, -0.002332389637267847]"
"[0.02474730648100376, -0.04491546005010605]","[0.049351075961268566, -0.0541426828578764]","[-0.024603769480264805, 0.00922722280777035]"
"[-0.0028605428524315357, -0.035716407001018524]","[0.07323073176665959, -0.054193194037635097]","[-0.07609127461909113, 0.018476787036616572]"
"[-0.04342171549797058, -0.010348047129809856]","[0.07958880706659505, -0.0409842786561434]","[-0.12301052256456563, 0.030636231526333546]"
"[-0.0906754732131958, 0.025319764390587807]","[0.04484851576363069, -0.07036764250485068]","[-0.1355239889768265, 0.09568740689543849]"
"[-0.13859958946704865, 0.061406828463077545]","[-0.0087048579983596, -0.02429482216197714]","[-0.12989473146868905, 0.08570165062505469]"
"[-0.1865071803331375, 0.09753291308879852]","[-0.003030002571156043, -0.03771264793550948]","[-0.18347717776198147, 0.13524556102430801]"
