"[-0.0017149606943130493, -0.9205252528190613]","[-0.14418950752399162, -1.3979904076979761]","[0.14247454682967858, 0.47746515487891483]"
"[-0.007869550958275795, -0.013997716829180717]","[-0.34591474046938336, -1.1479426032899869]","[0.33804518951110757, 1.1339448864608062]"
"[-0.04563310369849205, -0.0786459892988205]","[-0.748309892256756, -1.2529686573101315]","[0.702676788558264, 1.174322668011311]"
"[-0.08369817584753036, -0.14329072833061218]","[-0.34434522757990177, -0.5005277105222241]","[0.2606470517323714, 0.35723698219161193]"
"[-0.12166094779968262, -0.2078380286693573]","[-0.35122143084192026, -0.6055283153193363]","[0.22956048304223764, 0.39769028664997896]"
"[-0.14701493084430695, -0.25101447105407715]","[-0.36907918815874186, -0.5816093141000248]","[0.2220642573144349, 0.33059484304594766]"
"[-0.19765089452266693, -0.3371872305870056]","[-0.34155209987733803, -0.615299164020668]","[0.1439012053546711, 0.27811193343366236]"
"[-0.22301074862480164, -0.38027119636535645]","[-0.44129995045903575, -0.6052624468793494]","[0.21828920183423411, 0.22499125051399294]"
"[-0.2736421525478363, -0.46645182371139526]","[-0.45542626661772473, -0.7084409624290333]","[0.18178411406988843, 0.24198913871763805]"
"[-0.31168773770332336, -0.5310729146003723]","[-0.47438539734999513, -0.7322753320146698]","[0.16269765964667177, 0.20120241741429745]"
"[-0.34967929124832153, -0.5956801176071167]","[-0.4445061504180198, -0.7311388770986659]","[0.09482685916969824, 0.13545875949154917]"
"[-0.3876885771751404, -0.6602922677993774]","[-0.495141884612907, -0.817126685005131]","[0.1074533074377666, 0.15683441720575353]"
"[-0.42569369077682495, -0.7248623371124268]","[-0.5262346767190524, -0.7820550442030145]","[0.10054098594222749, 0.05719270709058777]"
"[-0.46365633606910706, -0.789511501789093]","[-0.5378961025928768, -0.8787084356719306]","[0.07423976652376973, 0.08919693388283756]"
"[-0.5016984939575195, -0.8541507720947266]","[-0.5659352290704368, -0.8590627008346653]","[0.06423673511291728, 0.004911928739938731]"
"[-0.5396361351013184, -0.9187980890274048]","[-0.567808624926248, -0.9346135601713849]","[0.028172489824929592, 0.015815471143980075]"
"[-0.5776469111442566, -0.9834219813346863]","[-0.6043595125536596, -0.9393869269109503]","[0.026712601409403014, -0.04403505442373601]"
"[-0.615726113319397, -1.0480180978775024]","[-0.6233391969696062, -0.9973064021675018]","[0.007613083650209185, -0.05071169571000067]"
"[-0.6537908315658569, -1.1126291751861572]","[-0.659111856862497, -1.0475176269584312]","[0.005321025296640025, -0.06511154822772602]"
"[-0.6918607950210571, -1.1772414445877075]","[-0.6364231737667816, -1.0773431740512556]","[-0.05543762125427554, -0.09989827053645195]"
"[-0.7297818064689636, -1.2418231964111328]","[-0.6842709297215511, -1.1001261127329083]","[-0.0455108767474125, -0.14169708367822453]"
"[-0.7678507566452026, -1.3064442873001099]","[-0.6876185387218605, -1.1851781434019129]","[-0.08023221792334212, -0.12126614389819701]"
"[-0.805933952331543, -1.371031641960144]","[-0.6818654961293742, -1.201081838845149]","[-0.12406845620216878, -0.16994980311499508]"
"[-0.8439992070198059, -1.4356410503387451]","[-0.7243483086224731, -1.2279773614384266]","[-0.11965089839733278, -0.2076636889003185]"
"[-0.8820378184318542, -1.5002357959747314]","[-0.7902087703839291, -1.2762896679524292]","[-0.09182904804792513, -0.2239461280223023]"
"[-0.9201159477233887, -1.5648890733718872]","[-0.7662477496391773, -1.260951202927266]","[-0.15386819808421137, -0.30393787044462117]"
"[-0.9570997357368469, -1.627727746963501]","[-0.787404590734976, -1.4174384409015501]","[-0.16969514500187088, -0.21028930606195084]"
"[-0.9808139801025391, -1.6678869724273682]","[-0.8014562016457134, -1.3431420702211436]","[-0.17935777845682566, -0.32474490220622454]"
"[-0.9959914088249207, -1.6950933933258057]","[-0.8460826277553666, -1.335949309038154]","[-0.14990878106955408, -0.35914408428765165]"
"[-1.0082337856292725, -1.7199405431747437]","[-0.8548574410325573, -1.3817615609610987]","[-0.15337634459671512, -0.33817898221364495]"
"[-1.0140293836593628, -1.7366920709609985]","[-0.876464313391174, -1.3710568616877263]","[-0.13756507026818876, -0.3656352092732722]"
"[-1.0127956867218018, -1.7481874227523804]","[-0.8138982680971913, -1.4013763689246486]","[-0.1988974186246104, -0.3468110538277318]"
"[-1.00931715965271, -1.7584731578826904]","[-0.8271088185017679, -1.3552701049357219]","[-0.1822083411509421, -0.40320305294696857]"
"[-1.0094372034072876, -1.7698711156845093]","[-0.8358439441919645, -1.3933447012279134]","[-0.1735932592153231, -0.37652641445659585]"
"[-1.013026237487793, -1.7809598445892334]","[-0.8059328963143464, -1.4559613841727668]","[-0.20709334117344658, -0.32499846041646663]"
"[-1.017961025238037, -1.788806676864624]","[-0.8452775910747181, -1.4803360308994535]","[-0.172683434163319, -0.3084706459651705]"
"[-1.0272867679595947, -1.7905099391937256]","[-0.8204609904557136, -1.4319461342416764]","[-0.2068257775038811, -0.3585638049520492]"
"[-1.0565062761306763, -1.776795744895935]","[-0.8165240490001193, -1.4353533001434962]","[-0.23998222713055695, -0.3414424447524389]"
"[-1.105129361152649, -1.7391914129257202]","[-0.8768810577459005, -1.3508953757167748]","[-0.2282483034067484, -0.38829603720894545]"
"[-1.1594648361206055, -1.6889455318450928]","[-0.8834282904184221, -1.40835727733581]","[-0.2760365457021834, -0.2805882545092828]"
"[-1.214449405670166, -1.637934923171997]","[-0.9026862698434399, -1.3461756686152402]","[-0.3117631358267261, -0.2917592545567569]"
"[-1.269412636756897, -1.5869249105453491]","[-0.9672785713083141, -1.3435744786533432]","[-0.3021340654485829, -0.2433504318920059]"
"[-1.3243522644042969, -1.535903811454773]","[-0.9626176584189293, -1.3856543412068743]","[-0.36173460598536755, -0.1502494702478987]"
