"[0.10486815869808197, 0.00010336314153391868]",|,"[0.10690937936306, 0.002292456105351448]",|,[-0.00204122 -0.00218909]
"[0.12279826402664185, 8.2456084783189e-05]",|,"[0.13465456664562225, 0.005637558177113533]",|,[-0.0118563 -0.0055551]
"[0.16646873950958252, 4.667229586630128e-05]",|,"[0.18341375887393951, 0.001093955710530281]",|,[-0.01694502 -0.00104728]
"[0.2114153653383255, 2.267337367811706e-05]",|,"[0.21328087151050568, 0.0010713059455156326]",|,[-0.00186551 -0.00104863]
"[0.27139467000961304, -2.3625634639756754e-05]",|,"[0.27357250452041626, 0.0018489081412553787]",|,[-0.00217783 -0.00187253]
"[0.3013978600502014, -6.138739263406023e-05]",|,"[0.31818902492523193, 0.0019251126796007156]",|,[-0.01679116 -0.0019865 ]
"[0.3614027798175812, -8.046543371165171e-05]",|,"[0.36348044872283936, 0.002641858533024788]",|,[-0.00207767 -0.00272232]
"[0.391349196434021, -6.430354551412165e-05]",|,"[0.4074608087539673, 0.0025119204074144363]",|,[-0.01611161 -0.00257622]
"[0.45132917165756226, -8.517484093317762e-05]",|,"[0.45272237062454224, 0.0032253284007310867]",|,[-0.0013932 -0.0033105]
"[0.48131465911865234, -0.00011412863386794925]",|,"[0.4965220093727112, 0.0029529351741075516]",|,[-0.01520735 -0.00306706]
"[0.5263088941574097, -0.00015575849101878703]",|,"[0.5409773588180542, 0.0030792374163866043]",|,[-0.01466846 -0.003235  ]
"[0.5712944865226746, -0.00018963564070872962]",|,"[0.5860647559165955, 0.0035280007869005203]",|,[-0.01477027 -0.00371764]
"[0.6312749981880188, -0.00021319606457836926]",|,"[0.6306576728820801, 0.0036237258464097977]",|,[ 0.00061733 -0.00383692]
"[0.6612743139266968, -0.00022963606170378625]",|,"[0.6739104986190796, 0.0028249043971300125]",|,[-0.01263618 -0.00305454]
"[0.7212642431259155, -0.0002383153623668477]",|,"[0.719752848148346, 0.0034477729350328445]",|,[ 0.00151139 -0.00368609]
"[0.751246988773346, -0.00025707893655635417]",|,"[0.7632573843002319, 0.0025436896830797195]",|,[-0.0120104  -0.00280077]
"[0.8112027049064636, -0.00028999015921726823]",|,"[0.809009850025177, 0.0028690118342638016]",|,[ 0.00219285 -0.003159  ]
"[0.8562110662460327, -0.00030502231675200164]",|,"[0.8529151678085327, 0.001842023804783821]",|,[ 0.0032959  -0.00214705]
"[0.8861977458000183, -0.00032798084430396557]",|,"[0.8977915048599243, 0.0012808460742235184]",|,[-0.01159376 -0.00160883]
"[0.9461706280708313, -0.00036792768514715135]",|,"[0.9439915418624878, 0.0014664549380540848]",|,[ 0.00217909 -0.00183438]
"[0.9911699295043945, -0.0003968355304095894]",|,"[0.9893483519554138, 0.0008915681391954422]",|,[ 0.00182158 -0.0012884 ]
"[1.0211411714553833, -0.00038008514093235135]",|,"[1.0338436365127563, -0.00047898106276988983]",|,[-1.27024651e-02  9.88959218e-05]
"[1.0811411142349243, -0.00040336715755984187]",|,"[1.0805130004882812, -0.00016557984054088593]",|,[ 0.00062811 -0.00023779]
"[1.1111209392547607, -0.000410483538871631]",|,"[1.1253483295440674, -0.0016245227307081223]",|,[-0.01422739  0.00121404]
"[1.1560959815979004, -0.000442606775322929]",|,"[1.1712381839752197, -0.0021823029965162277]",|,[-0.0151422  0.0017397]
"[1.2010884284973145, -0.0004823518102057278]",|,"[1.2175520658493042, -0.002007005736231804]",|,[-0.01646364  0.00152465]
"[1.2460811138153076, -0.0005189623916521668]",|,"[1.262694239616394, -0.0032117944210767746]",|,[-0.01661313  0.00269283]
"[1.2910641431808472, -0.0005540642887353897]",|,"[1.308597445487976, -0.0028648357838392258]",|,[-0.0175333   0.00231077]
"[1.3360501527786255, -0.0005743879592046142]",|,"[1.3534241914749146, -0.0038857441395521164]",|,[-0.01737404  0.00331136]
"[1.3810338973999023, -0.0006418203702196479]",|,"[1.398429036140442, -0.0032072048634290695]",|,[-0.01739514  0.00256538]
"[1.4410145282745361, -0.0006883474416099489]",|,"[1.4426764249801636, -0.00289064459502697]",|,[-0.0016619  0.0022023]
"[1.4709943532943726, -0.0007009482360444963]",|,"[1.4861698150634766, -0.0031627994030714035]",|,[-0.01517546  0.00246185]
"[1.5309574604034424, -0.0007291263318620622]",|,"[1.5289396047592163, -0.0014016013592481613]",|,[0.00201786 0.00067248]
"[1.5609596967697144, -0.000750943785533309]",|,"[1.5709091424942017, -0.0012446027249097824]",|,[-0.00994945  0.00049366]
