2023-01-18 16:54:17,008 INFO    MainThread:7908 [wandb_setup.py:_flush():68] Configure stats pid to 7908
2023-01-18 16:54:17,009 INFO    MainThread:7908 [wandb_setup.py:_flush():68] Loading settings from C:\Users\Bruno\.config\wandb\settings
2023-01-18 16:54:17,009 INFO    MainThread:7908 [wandb_setup.py:_flush():68] Loading settings from B:\Documents\GitHub\TG2\wandb\settings
2023-01-18 16:54:17,009 INFO    MainThread:7908 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-01-18 16:54:17,009 INFO    MainThread:7908 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'Train.py', 'program': 'b:\\Documents\\GitHub\\TG2\\Train.py'}
2023-01-18 16:54:17,011 INFO    MainThread:7908 [wandb_init.py:_log_setup():478] Logging user logs to B:\Documents\GitHub\TG2\wandb\run-20230118_165417-5kdblwz3\logs\debug.log
2023-01-18 16:54:17,012 INFO    MainThread:7908 [wandb_init.py:_log_setup():479] Logging internal logs to B:\Documents\GitHub\TG2\wandb\run-20230118_165417-5kdblwz3\logs\debug-internal.log
2023-01-18 16:54:17,014 INFO    MainThread:7908 [wandb_init.py:init():518] calling init triggers
2023-01-18 16:54:17,014 INFO    MainThread:7908 [wandb_init.py:init():521] wandb.init called with sweep_config: {}
config: {}
2023-01-18 16:54:17,016 INFO    MainThread:7908 [wandb_init.py:init():571] starting backend
2023-01-18 16:54:17,016 INFO    MainThread:7908 [wandb_init.py:init():575] setting up manager
2023-01-18 16:54:17,025 INFO    MainThread:7908 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-01-18 16:54:17,038 INFO    MainThread:7908 [wandb_init.py:init():582] backend started and connected
2023-01-18 16:54:17,050 INFO    MainThread:7908 [wandb_init.py:init():670] updated telemetry
2023-01-18 16:54:17,206 INFO    MainThread:7908 [wandb_init.py:init():710] communicating run to backend with 60.0 second timeout
2023-01-18 16:54:18,228 INFO    MainThread:7908 [wandb_run.py:_on_init():2121] communicating current version
2023-01-18 16:54:18,359 INFO    MainThread:7908 [wandb_run.py:_on_init():2125] got version response 
2023-01-18 16:54:18,359 INFO    MainThread:7908 [wandb_init.py:init():758] starting run threads in backend
2023-01-18 16:54:19,001 INFO    MainThread:7908 [wandb_run.py:_console_start():2101] atexit reg
2023-01-18 16:54:19,003 INFO    MainThread:7908 [wandb_run.py:_redirect():1959] redirect: SettingsConsole.WRAP_RAW
2023-01-18 16:54:19,004 INFO    MainThread:7908 [wandb_run.py:_redirect():2024] Wrapping output streams.
2023-01-18 16:54:19,004 INFO    MainThread:7908 [wandb_run.py:_redirect():2046] Redirects installed.
2023-01-18 16:54:19,005 INFO    MainThread:7908 [wandb_init.py:init():798] run started, returning control to user process
2023-01-18 16:54:21,131 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:21,368 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:21,567 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:21,804 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:22,103 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:22,370 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:22,618 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:22,830 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:23,116 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:23,353 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:23,616 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:23,807 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:24,033 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:24,306 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:24,501 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:24,743 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:24,950 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:25,163 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:25,369 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
2023-01-18 16:54:25,587 INFO    MainThread:7908 [wandb_watch.py:watch():51] Watching
