New dataset
Velocidade | aceleração angular | Posição (RSS) | time | Posição real
0.0 | 58.379454445310486 | [0.09214134319782707, -5.542918306400413e-05] | 1672708987.1114802 | [0.09214120358228683, -5.5237360356841236e-05]
0.0 | 0.2604043025555886 | [0.13702558516200758, -0.00015685435332651876] | 1672708987.2840655 | [0.13702569901943207, -0.0001568871521158144]
0.0 | -0.011708866043041725 | [0.18198995326938872, -8.921599757649723e-05] | 1672708987.4240425 | [0.16696712374687195, -0.00010529203427722678]
0.0 | 0.015077298841620668 | [0.2269942033080775, -8.199143284537413e-06] | 1672708987.5776315 | [0.2119986116886139, -2.5011666366481222e-05]
0.0 | -0.027937571959990595 | [0.2569744542161966, 7.607477543003505e-05] | 1672708987.717338 | [0.25697457790374756, 7.606061990372837e-05]
0.0 | -0.009482560220421666 | [0.30194455370149254, 0.00014083570197154227] | 1672708987.8705907 | [0.30194443464279175, 0.00014087004819884896]
0.0 | 0.015283749779899223 | [0.36191821011893055, 0.00019432597205393254] | 1672708988.0276399 | [0.3469405472278595, 0.00016930994752328843]
0.0 | 0.012702457967965273 | [0.3918984630136305, 0.00023737868010853536] | 1672708988.1653132 | [0.3918982744216919, 0.00023752779816277325]
0.0 | -0.0005271189491946459 | [0.43693184988262346, 0.0003132939823916603] | 1672708988.3238482 | [0.43693193793296814, 0.00031321405549533665]
0.0 | -0.0036167850419022243 | [0.49689036504227135, 0.00042407344002226566] | 1672708988.4804664 | [0.481893926858902, 0.00039664056384935975]
0.0 | -0.022065134394205165 | [0.5418846899692135, 0.0005004107232908783] | 1672708988.620092 | [0.5268808603286743, 0.0004650412010960281]
0.0 | 0.004589214517006264 | [0.5868981276491554, 0.0005807420458260326] | 1672708988.7746832 | [0.5718673467636108, 0.000549270655028522]
0.0 | 0.011978742067269454 | [0.6318462364195677, 0.0006133926684904756] | 1672708988.9293149 | [0.6168654561042786, 0.0005932276835665107]
0.0 | 0.00039748804432629577 | [0.661862637424237, 0.0006665929565595752] | 1672708989.0689397 | [0.6618626117706299, 0.0006665409309789538]
0.0 | -0.01708940933610282 | [0.7068538910260621, 0.0007567167430668764] | 1672708989.2234993 | [0.7068538665771484, 0.0007568054716102779]
0.0 | -0.015567507491813504 | [0.766831897794369, 0.0008537551036739144] | 1672708989.378127 | [0.7518167495727539, 0.0008274583960883319]
0.0 | -0.006325360209738213 | [0.811807403476826, 0.0009210111156656708] | 1672708989.5208006 | [0.7968225479125977, 0.0009001830476336181]
0.0 | 0.004129208330132062 | [0.8567951041581907, 0.0009839165690764817] | 1672708989.6743896 | [0.8418124914169312, 0.0009626217070035636]
0.0 | 0.005954504134262425 | [0.901784687443633, 0.0010797647352668305] | 1672708989.8309784 | [0.9017845392227173, 0.0010798213770613074]
0.0 | 0.015777641823549935 | [0.9467685488131636, 0.0011763280501443374] | 1672708989.9755952 | [0.9317680597305298, 0.00115947425365448]
0.0 | 5.669600765548233e-06 | [0.9917614702083175, 0.0012685997326402632] | 1672708990.1285346 | [0.9767481088638306, 0.001232505077496171]
0.0 | -0.0037978568236857685 | [1.0217430717232243, 0.0013036674769377754] | 1672708990.2667966 | [1.0217431783676147, 0.0013036882737651467]
0.0 | -0.0003683259071657243 | [1.081721560858306, 0.0014288299528468773] | 1672708990.425954 | [1.0667407512664795, 0.0014009933220222592]
0.0 | 0.019892355808318083 | [1.1117198628191165, 0.001494872691709892] | 1672708990.5680788 | [1.1117198467254639, 0.0014948069583624601]
0.0 | -0.0026243941406583317 | [1.1716983462275106, 0.0015928656400068242] | 1672708990.725711 | [1.1566894054412842, 0.0015676639741286635]
0.0 | 0.004803223169620238 | [1.216672673811963, 0.0016698738118168244] | 1672708990.893871 | [1.2166727781295776, 0.001669877558015287]
0.0 | 0.0013241565777769371 | [1.2466645381039738, 0.001724234784600931] | 1672708991.0189745 | [1.2466645240783691, 0.0017241693567484617]
0.0 | 0.020254518282681943 | [1.3066358698180072, 0.0018451144557951604] | 1672708991.1736069 | [1.291651964187622, 0.0018034891691058874]
0.0 | -0.02637358184909826 | [1.3516347497522385, 0.0019087803224910882] | 1672708991.3278964 | [1.3366360664367676, 0.0018907483899965882]
0.0 | 0.010707846637270561 | [1.38160205674592, 0.001970294357098945] | 1672708991.4670734 | [1.3816019296646118, 0.001970403827726841]
0.0 | 0.018514526738358336 | [1.4416039160872225, 0.002054199654096367] | 1672708991.6260214 | [1.4265940189361572, 0.002015981823205948]
0.0 | 0.008562612529899438 | [1.4865746607492918, 0.0021233530813371537] | 1672708991.7814908 | [1.4715888500213623, 0.0020960334222763777]
0.0 | -0.017317629748369145 | [1.531584995950389, 0.002204163072487164] | 1672708991.9201193 | [1.5165667533874512, 0.002172082895413041]
0.0 | 0.009027471301430666 | [1.5765731268689114, 0.0022907584805176295] | 1672708992.076703 | [1.5765728950500488, 0.0022907911334186792]
0.0 | 0.13405322246493187 | [1.6044829075979878, 0.0022694882836475916] | 1672708992.2163649 | [1.6044830083847046, 0.00226954254321754]
0.0 | 0.7807887674867166 | [1.6210696791947035, 0.0016052724277222374] | 1672708992.3769002 | [1.6210696697235107, 0.0016051691491156816]
0.0 | 15.02636356728173 | [1.6223895826112487, 0.0002305135591398333] | 1672708992.5161726 | [1.622389793395996, 0.00023049628362059593]
0.0 | 35.09078546176726 | [1.6247404159356384, -0.0034553724157662113] | 1672708992.6711922 | [1.6247402429580688, -0.0034552887082099915]
0.0 | 63.80764166745888 | [1.6230547080768887, -0.014744547671882824] | 1672708992.8263917 | [1.6238324642181396, -0.011376064270734787]
0.0 | 85.70782245592747 | [1.6238186454241588, -0.0214557646600273] | 1672708992.969056 | [1.6238186359405518, -0.02145574614405632]
0.0 | 90.00444569845294 | [1.634417295793083, -0.03147552470100767] | 1672708993.1262088 | [1.6313912868499756, -0.02927849255502224]
0.0 | 93.03720495658115 | [1.644404606786958, -0.0363788691772553] | 1672708993.2805939 | [1.644404649734497, -0.036378953605890274]
0.0 | 98.34051687654352 | [1.6543491498673224, -0.03907345723064681] | 1672708993.4197218 | [1.651324987411499, -0.03842990845441818]
0.0 | 66.68777072350944 | [1.661517815778703, -0.03783059983347181] | 1672708993.5773025 | [1.661517858505249, -0.03783067688345909]
0.0 | 54.19908024977936 | [1.6676715032485274, -0.018630970680305392] | 1672708993.7323618 | [1.6661077737808228, -0.027061963453888893]
0.0 | 27.242260015046995 | [1.6680324367399113, 0.01484795372721015] | 1672708993.8749838 | [1.668631911277771, 0.002349788323044777]
0.0 | 3.3016933809452653 | [1.6631257828902757, 0.05857415942618949] | 1672708994.0305645 | [1.665043592453003, 0.04359535127878189]
0.0 | -0.706642750212802 | [1.6578109247414614, 0.10331704447478485] | 1672708994.1697505 | [1.6594880819320679, 0.08841698616743088]
0.0 | 0.009758633638593178 | [1.652850864272117, 0.14802839605690976] | 1672708994.327355 | [1.6545060873031616, 0.13311782479286194]
0.0 | 0.009348116661190727 | [1.6495340179479099, 0.17782874814587468] | 1672708994.465813 | [1.6495342254638672, 0.17782887816429138]
0.0 | -0.0013975674012030313 | [1.6429341041055037, 0.23744199696585344] | 1672708994.6209195 | [1.6445868015289307, 0.22252781689167023]
0.0 | 0.006736104861410755 | [1.6379730905591374, 0.2821545404133965] | 1672708994.7771456 | [1.6396291255950928, 0.26725536584854126]
0.0 | 0.0015936452694444848 | [1.634660014157204, 0.3119606988671324] | 1672708994.9158113 | [1.634660005569458, 0.3119606375694275]
0.0 | -0.0025680801331795303 | [1.6280253018425053, 0.3715837019936523] | 1672708995.0723956 | [1.6296827793121338, 0.3566676676273346]
0.0 | -0.0053067233015603975 | [1.6230504469365015, 0.4163003204082967] | 1672708995.2305188 | [1.6247081756591797, 0.4013914167881012]
0.0 | -0.004734333906127117 | [1.6180875384709337, 0.46101856432321053] | 1672708995.3720179 | [1.6197435855865479, 0.44611114263534546]
0.0 | -0.002657462810743456 | [1.6131346308228176, 0.5057337305175469] | 1672708995.5271168 | [1.6147897243499756, 0.4908318519592285]
0.0 | -0.0030022014643909826 | [1.6098316450296861, 0.5355447689386956] | 1672708995.6669235 | [1.6098315715789795, 0.535544753074646]
0.0 | 0.00107811163962465 | [1.6048744086735578, 0.5802590424007892] | 1672708995.821514 | [1.604874610900879, 0.5802590250968933]
0.0 | 0.007996062194937413 | [1.5982611404432572, 0.6398608483657245] | 1672708995.9770985 | [1.5982612371444702, 0.6398609280586243]
0.0 | -0.001645551213196693 | [1.5949485676951907, 0.6696893741011898] | 1672708996.1148558 | [1.5949487686157227, 0.669689416885376]
0.0 | 0.0031145561308193715 | [1.5883158025825972, 0.7293008746085373] | 1672708996.2718735 | [1.5899736881256104, 0.7143901586532593]
0.0 | -0.0003269681062524815 | [1.5833537654761178, 0.7740144757791337] | 1672708996.4284198 | [1.5850123167037964, 0.759099543094635]
0.0 | -0.0027963460855912484 | [1.5783955964127827, 0.8187058234807353] | 1672708996.5700748 | [1.58004891872406, 0.8038128018379211]
0.0 | 0.001195959474782225 | [1.5734278838199578, 0.8634462942499639] | 1672708996.728178 | [1.575084924697876, 0.8485331535339355]
0.0 | -0.0028520165122472227 | [1.5684654955274318, 0.9081585201791176] | 1672708996.8698514 | [1.5701245069503784, 0.8932396173477173]
0.0 | 0.00479335493978928 | [1.5635106634110132, 0.95285249097198] | 1672708997.0294619 | [1.5635106563568115, 0.9528525471687317]
0.0 | 0.0017194576539438105 | [1.5585459276926246, 0.9975723000807921] | 1672708997.182894 | [1.5602002143859863, 0.9826852679252625]
0.0 | -0.0024195612481793805 | [1.5552394824570541, 1.0273987793813162] | 1672708997.3207793 | [1.5552396774291992, 1.0273988246917725]
0.0 | 0.0017567073775741967 | [1.548610055106323, 1.0870250693103933] | 1672708997.4777355 | [1.548609972000122, 1.0870250463485718]
0.0 | 0.00217253627945016 | [1.5453065082789037, 1.1168388613814395] | 1672708997.6168218 | [1.5453063249588013, 1.116838812828064]
0.0 | 0.0038894278348086224 | [1.5386970104363056, 1.176445011660136] | 1672708997.7734587 | [1.5403419733047485, 1.1615527868270874]
0.0 | 0.002967967138437946 | [1.5337649839135135, 1.221159587092101] | 1672708997.929721 | [1.5353907346725464, 1.2062534093856812]
0.0 | -0.0038971337061674462 | [1.528800731582856, 1.2658846426203958] | 1672708998.0728455 | [1.530439019203186, 1.2509781122207642]
0.0 | 0.005611587175341774 | [1.5238673740812931, 1.3106215050511336] | 1672708998.229473 | [1.5255160331726074, 1.2957103252410889]
