"[-1.7149606943130493, -0.9205252528190613]",|,"[-0.9675610065460205, -1.0180854797363281]",|,[-0.74739969  0.09756023]
"[-0.007869550958275795, -0.013997716829180717]",|,"[-0.03571227192878723, -0.005746945738792419]",|,[ 0.02784272 -0.00825077]
"[-0.04563310369849205, -0.0786459892988205]",|,"[-0.08340103924274445, -0.059353120625019073]",|,[ 0.03776794 -0.01929287]
"[-0.08369817584753036, -0.14329072833061218]",|,"[-0.12202523648738861, -0.12403140962123871]",|,[ 0.03832706 -0.01925932]
"[-0.12166094779968262, -0.2078380286693573]",|,"[-0.13467635214328766, -0.2041175365447998]",|,[ 0.0130154  -0.00372049]
"[-0.14701493084430695, -0.25101447105407715]",|,"[-0.17512907087802887, -0.2668192386627197]",|,[0.02811414 0.01580477]
"[-0.19765089452266693, -0.3371872305870056]",|,"[-0.20824716985225677, -0.330524206161499]",|,[ 0.01059628 -0.00666302]
"[-0.22301074862480164, -0.38027119636535645]",|,"[-0.2549743056297302, -0.39521700143814087]",|,[0.03196356 0.01494581]
"[-0.2736421525478363, -0.46645182371139526]",|,"[-0.2874094843864441, -0.4599088430404663]",|,[ 0.01376733 -0.00654298]
"[-0.31168773770332336, -0.5310729146003723]",|,"[-0.3321053981781006, -0.5240203142166138]",|,[ 0.02041766 -0.0070526 ]
"[-0.34967929124832153, -0.5956801176071167]",|,"[-0.36503154039382935, -0.589570939540863]",|,[ 0.01535225 -0.00610918]
"[-0.3876885771751404, -0.6602922677993774]",|,"[-0.40728288888931274, -0.65577632188797]",|,[ 0.01959431 -0.00451595]
"[-0.42569369077682495, -0.7248623371124268]",|,"[-0.4423375725746155, -0.7200937867164612]",|,[ 0.01664388 -0.00476855]
"[-0.46365633606910706, -0.789511501789093]",|,"[-0.4881342053413391, -0.784642219543457]",|,[ 0.02447787 -0.00486928]
"[-0.5016984939575195, -0.8541507720947266]",|,"[-0.5052874684333801, -0.8542166352272034]",|,[3.58897448e-03 6.58631325e-05]
"[-0.5396361351013184, -0.9187980890274048]",|,"[-0.563953697681427, -0.9149523973464966]",|,[ 0.02431756 -0.00384569]
"[-0.5776469111442566, -0.9834219813346863]",|,"[-0.6033907532691956, -0.9781971573829651]",|,[ 0.02574384 -0.00522482]
"[-0.615726113319397, -1.0480180978775024]",|,"[-0.628943920135498, -1.044199824333191]",|,[ 0.01321781 -0.00381827]
"[-0.6537908315658569, -1.1126291751861572]",|,"[-0.6728097200393677, -1.107409954071045]",|,[ 0.01901889 -0.00521922]
"[-0.6918607950210571, -1.1772414445877075]",|,"[-0.702963650226593, -1.1713374853134155]",|,[ 0.01110286 -0.00590396]
"[-0.7297818064689636, -1.2418231964111328]",|,"[-0.7484868764877319, -1.2346330881118774]",|,[ 0.01870507 -0.00719011]
"[-0.7678507566452026, -1.3064442873001099]",|,"[-0.7707721590995789, -1.3022959232330322]",|,[ 0.0029214  -0.00414836]
"[-0.805933952331543, -1.371031641960144]",|,"[-0.8019788861274719, -1.3721652030944824]",|,[-0.00395507  0.00113356]
"[-0.8439992070198059, -1.4356410503387451]",|,"[-0.8312258720397949, -1.4375860691070557]",|,[-0.01277333  0.00194502]
"[-0.8820378184318542, -1.5002357959747314]",|,"[-0.8879419565200806, -1.49718177318573]",|,[ 0.00590414 -0.00305402]
"[-0.9201159477233887, -1.5648890733718872]",|,"[-0.9198013544082642, -1.5633772611618042]",|,[-0.00031459 -0.00151181]
"[-0.9570997357368469, -1.627727746963501]",|,"[-0.949910044670105, -1.6306861639022827]",|,[-0.00718969  0.00295842]
"[-0.9808139801025391, -1.6678869724273682]",|,"[-0.9673796892166138, -1.6699903011322021]",|,[-0.01343429  0.00210333]
"[-0.9959914088249207, -1.6950933933258057]",|,"[-1.0411415100097656, -1.7037265300750732]",|,[0.0451501  0.00863314]
"[-1.0082337856292725, -1.7199405431747437]",|,"[-1.0422890186309814, -1.72732675075531]",|,[0.03405523 0.00738621]
"[-1.0140293836593628, -1.7366920709609985]",|,"[-1.0642282962799072, -1.744882583618164]",|,[0.05019891 0.00819051]
"[-1.0127956867218018, -1.7481874227523804]",|,"[-1.0599242448806763, -1.7561947107315063]",|,[0.04712856 0.00800729]
"[-1.00931715965271, -1.7584731578826904]",|,"[-1.0322715044021606, -1.7611186504364014]",|,[0.02295434 0.00264549]
"[-1.0094372034072876, -1.7698711156845093]",|,"[-1.017130970954895, -1.7689815759658813]",|,[ 0.00769377 -0.00088954]
"[-1.013026237487793, -1.7809598445892334]",|,"[-1.0136706829071045, -1.7740987539291382]",|,[ 0.00064445 -0.00686109]
"[-1.017961025238037, -1.788806676864624]",|,"[-0.9858736991882324, -1.7711923122406006]",|,[-0.03208733 -0.01761436]
"[-1.0272867679595947, -1.7905099391937256]",|,"[-0.9898027181625366, -1.7729755640029907]",|,[-0.03748405 -0.01753438]
"[-1.0565062761306763, -1.776795744895935]",|,"[-1.058751106262207, -1.769277572631836]",|,[ 0.00224483 -0.00751817]
"[-1.105129361152649, -1.7391914129257202]",|,"[-1.0810184478759766, -1.7292757034301758]",|,[-0.02411091 -0.00991571]
"[-1.1594648361206055, -1.6889455318450928]",|,"[-1.1108118295669556, -1.6731219291687012]",|,[-0.04865301 -0.0158236 ]
"[-1.214449405670166, -1.637934923171997]",|,"[-1.19140625, -1.6445146799087524]",|,[-0.02304316  0.00657976]
"[-1.269412636756897, -1.5869249105453491]",|,"[-1.2744883298873901, -1.5867090225219727]",|,[ 0.00507569 -0.00021589]
"[-1.3243522644042969, -1.535903811454773]",|,"[-1.328022837638855, -1.5348042249679565]",|,[ 0.00367057 -0.00109959]
"[-1.3793199062347412, -1.484922170639038]",|,"[-1.3906331062316895, -1.4818986654281616]",|,[ 0.0113132  -0.00302351]
"[-1.4342902898788452, -1.433910608291626]",|,"[-1.4491424560546875, -1.4280383586883545]",|,[ 0.01485217 -0.00587225]
"[-1.4892507791519165, -1.382907748222351]",|,"[-1.5002672672271729, -1.378900170326233]",|,[ 0.01101649 -0.00400758]
"[-1.5442246198654175, -1.3318666219711304]",|,"[-1.5571802854537964, -1.3235573768615723]",|,[ 0.01295567 -0.00830925]
"[-1.5991967916488647, -1.280851125717163]",|,"[-1.616892695426941, -1.2703704833984375]",|,[ 0.0176959  -0.01048064]
"[-1.6415477991104126, -1.2416720390319824]",|,"[-1.6638602018356323, -1.2303026914596558]",|,[ 0.0223124  -0.01136935]
"[-1.665257215499878, -1.2198745012283325]",|,"[-1.6977694034576416, -1.2110507488250732]",|,[ 0.03251219 -0.00882375]
"[-1.6885128021240234, -1.2004982233047485]",|,"[-1.7608511447906494, -1.1965768337249756]",|,[ 0.07233834 -0.00392139]
"[-1.7062406539916992, -1.187972903251648]",|,"[-1.7712101936340332, -1.1843472719192505]",|,[ 0.06496954 -0.00362563]
"[-1.7183860540390015, -1.1838284730911255]",|,"[-1.7839946746826172, -1.1792166233062744]",|,[ 0.06560862 -0.00461185]
"[-1.7290229797363281, -1.186227560043335]",|,"[-1.7670276165008545, -1.1785928010940552]",|,[ 0.03800464 -0.00763476]
"[-1.7405052185058594, -1.1842267513275146]",|,"[-1.768947720527649, -1.1742862462997437]",|,[ 0.0284425  -0.00994051]
"[-1.7477350234985352, -1.180751919746399]",|,"[-1.7665737867355347, -1.1679580211639404]",|,[ 0.01883876 -0.0127939 ]
"[-1.7595350742340088, -1.174790620803833]",|,"[-1.737823247909546, -1.159948706626892]",|,[-0.02171183 -0.01484191]
"[-1.7615506649017334, -1.1669565439224243]",|,"[-1.7306132316589355, -1.1510322093963623]",|,[-0.03093743 -0.01592433]
"[-1.7460311651229858, -1.1430003643035889]",|,"[-1.7618534564971924, -1.132758378982544]",|,[ 0.01582229 -0.01024199]
"[-1.7044029235839844, -1.104184627532959]",|,"[-1.6869087219238281, -1.092146873474121]",|,[-0.0174942  -0.01203775]
"[-1.6465438604354858, -1.0616419315338135]",|,"[-1.620399832725525, -1.049623727798462]",|,[-0.02614403 -0.0120182 ]
"[-1.585471510887146, -1.0181806087493896]",|,"[-1.5964585542678833, -1.0148861408233643]",|,[ 0.01098704 -0.00329447]
"[-1.5244050025939941, -0.9746958613395691]",|,"[-1.5441243648529053, -0.9668682813644409]",|,[ 0.01971936 -0.00782758]
"[-1.4632575511932373, -0.9312489628791809]",|,"[-1.4823194742202759, -0.9226793050765991]",|,[ 0.01906192 -0.00856966]
"[-1.402189016342163, -0.8877914547920227]",|,"[-1.403504729270935, -0.8909444212913513]",|,[0.00131571 0.00315297]
"[-1.341073989868164, -0.8442665338516235]",|,"[-1.368401050567627, -0.8382309675216675]",|,[ 0.02732706 -0.00603557]
"[-1.2799981832504272, -0.8007786870002747]",|,"[-1.289862871170044, -0.798820972442627]",|,[ 0.00986469 -0.00195771]
"[-1.2189476490020752, -0.7573221921920776]",|,"[-1.2343065738677979, -0.7562088370323181]",|,[ 0.01535892 -0.00111336]
"[-1.1578514575958252, -0.713810920715332]",|,"[-1.1681679487228394, -0.7129579782485962]",|,[ 0.01031649 -0.00085294]
"[-1.0967679023742676, -0.6703287959098816]",|,"[-1.1131287813186646, -0.6692081689834595]",|,[ 0.01636088 -0.00112063]
"[-1.0356667041778564, -0.6268634796142578]",|,"[-1.0435895919799805, -0.6261765956878662]",|,[ 0.00792289 -0.00068688]
"[-0.9745787382125854, -0.5834147334098816]",|,"[-0.9938889741897583, -0.5797637104988098]",|,[ 0.01931024 -0.00365102]
"[-0.9134831428527832, -0.5399450659751892]",|,"[-0.9259452819824219, -0.5383653044700623]",|,[ 0.01246214 -0.00157976]
"[-0.852372944355011, -0.4964810013771057]",|,"[-0.8626025915145874, -0.4922187924385071]",|,[ 0.01022965 -0.00426221]
"[-0.7912672758102417, -0.453071266412735]",|,"[-0.8003599047660828, -0.44842660427093506]",|,[ 0.00909263 -0.00464466]
"[-0.7301769852638245, -0.4095880091190338]",|,"[-0.7418223023414612, -0.40323859453201294]",|,[ 0.01164532 -0.00634941]
"[-0.6893986463546753, -0.38055703043937683]",|,"[-0.6853241324424744, -0.3600133955478668]",|,[-0.00407451 -0.02054363]
"[-0.6079343557357788, -0.3226000666618347]",|,"[-0.6181312799453735, -0.3162704408168793]",|,[ 0.01019692 -0.00632963]
"[-0.5468423366546631, -0.2791263163089752]",|,"[-0.5632370710372925, -0.2729872465133667]",|,[ 0.01639473 -0.00613907]
"[-0.48575764894485474, -0.23567204177379608]",|,"[-0.49550145864486694, -0.22981643676757812]",|,[ 0.00974381 -0.00585561]
